"transaction_id","date","amount","transaction_card","id_merchant","credit_card","cardholder_id","card_holder_id","card_holder_name"
1119,"2018-12-25 19:10:42","1035","30142966699187",57,"30142966699187","24",24,"Stephanie Dalton"
1293,"2018-12-30 23:23:09","1033","4761049645711555811",57,"4761049645711555811","1",1,"Robert Johnson"
99,"2018-01-02 23:27:46","1031","501879657465",95,"501879657465","12",12,"Megan Price"
1291,"2018-01-08 02:34:32","1029","3581345943543942",145,"3581345943543942","6",6,"Beth Hernandez"
1368,"2018-09-06 08:28:55","1017","4761049645711555811",135,"4761049645711555811","1",1,"Robert Johnson"
1800,"2018-12-03 02:38:52","1014","5570600642865857",64,"5570600642865857","16",16,"Crystal Clark"
1821,"2018-03-20 13:05:54","1011","30142966699187",141,"30142966699187","24",24,"Stephanie Dalton"
1620,"2018-03-26 07:41:59","1009","30181963913340",111,"30181963913340","9",9,"Laurie Gibbs"
1877,"2018-08-16 10:01:00","1001","4319653513507",120,"4319653513507","25",25,"Nancy Contreras"
136,"2018-07-18 09:19:08","974","344119623920892",19,"344119623920892","18",18,"Malik Carlson"
236,"2018-03-20 10:19:25","852","501879657465",35,"501879657465","12",12,"Megan Price"
384,"2018-10-07 14:40:34","757","30078299053512",73,"30078299053512","3",3,"Elizabeth Sawyer"
224,"2018-06-06 21:50:17","749","4319653513507",36,"4319653513507","25",25,"Nancy Contreras"
208,"2018-12-14 08:51:41","748","501879657465",96,"501879657465","12",12,"Megan Price"
249,"2018-06-17 02:45:49","691","30181963913340",70,"30181963913340","9",9,"Laurie Gibbs"
16,"2018-09-09 03:39:06","626","30078299053512",135,"30078299053512","3",3,"Elizabeth Sawyer"
408,"2018-04-10 06:08:01","543","3516952396080247",63,"3516952396080247","7",7,"Sean Taylor"
2241,"2018-04-21 18:40:47","525","30142966699187",134,"30142966699187","24",24,"Stephanie Dalton"
2330,"2018-10-16 13:27:33","484","4761049645711555811",142,"4761049645711555811","1",1,"Robert Johnson"
2192,"2018-11-13 05:58:47","466","30142966699187",122,"30142966699187","24",24,"Stephanie Dalton"
2103,"2018-09-02 11:20:42","458","344119623920892",10,"344119623920892","18",18,"Malik Carlson"
2409,"2018-02-09 11:38:37","445","3516952396080247",112,"3516952396080247","7",7,"Sean Taylor"
466,"2018-10-23 22:47:13","393","5570600642865857",148,"5570600642865857","16",16,"Crystal Clark"
38,"2018-03-09 04:51:38","389","3581345943543942",76,"3581345943543942","6",6,"Beth Hernandez"
812,"2018-01-08 11:15:36","333","344119623920892",95,"344119623920892","18",18,"Malik Carlson"
764,"2018-04-11 02:50:37","325","30181963913340",45,"30181963913340","9",9,"Laurie Gibbs"
2164,"2018-12-28 16:20:31","313","30078299053512",12,"30078299053512","3",3,"Elizabeth Sawyer"
682,"2018-07-21 11:08:39","291","30142966699187",119,"30142966699187","24",24,"Stephanie Dalton"
3423,"2018-04-09 10:24:32","283","4761049645711555811",50,"4761049645711555811","1",1,"Robert Johnson"
329,"2018-04-09 18:28:25","269","4319653513507",36,"4319653513507","25",25,"Nancy Contreras"
690,"2018-07-13 19:47:49","267","30181963913340",5,"30181963913340","9",9,"Laurie Gibbs"
292,"2018-11-26 20:54:39","267","4761049645711555811",24,"4761049645711555811","1",1,"Robert Johnson"
528,"2018-06-18 23:05:30","258","30142966699187",72,"30142966699187","24",24,"Stephanie Dalton"
3352,"2018-05-30 12:34:04","245.00000000000003","30181963913340",105,"30181963913340","9",9,"Laurie Gibbs"
2240,"2018-11-23 09:08:05","233","501879657465",47,"501879657465","12",12,"Megan Price"
721,"2018-07-17 10:11:12","233","3516952396080247",73,"3516952396080247","7",7,"Sean Taylor"
2188,"2018-01-11 13:20:31","229","5570600642865857",115,"5570600642865857","16",16,"Crystal Clark"
696,"2018-10-11 23:29:33","206","30078299053512",144,"30078299053512","3",3,"Elizabeth Sawyer"
